Scenario,IP Type,Tool,IP Address,Min (ms),Avg (ms),Median (ms),Max (ms),Std Dev (ms),P95 (ms),Packets
AWS,IPv4,jool,192.0.0.171,0.057,0.064,0.064,0.079,0.005,0.073,30
AWS,IPv4,tayga,192.0.0.171,0.083,0.091,0.089,0.115,0.008,0.107,30
AWS,IPv4,tundra,192.0.0.171,0.091,0.099,0.098,0.118,0.006,0.110,30
AWS,IPv6,tundra,2a05:d014:144f:5f00:20d2::400,0.036,0.042,0.043,0.048,0.002,0.046,30
AWS,IPv6,jool,2a05:d014:144f:5f00:20d2::400,0.040,0.053,0.054,0.066,0.005,0.061,30
AWS,IPv6,tayga,2a05:d014:144f:5f00:20d2::400,0.033,0.042,0.043,0.049,0.004,0.048,30
Single,IPv4,jool,192.0.0.171,0.179,0.189,0.181,0.317,0.026,0.218,30
Single,IPv4,tundra,192.0.0.171,0.222,0.239,0.230,0.400,0.032,0.266,30
Single,IPv6,jool,fd00:64:64:5f00:20d2::400,0.161,0.171,0.167,0.204,0.012,0.201,30
Single,IPv6,tundra,fd00:64:64:5f00:20d2::400,0.086,0.131,0.132,0.164,0.014,0.153,30
Single,IPv6,tayga,fd00:64:64:5f00:20d2::400,0.122,0.134,0.127,0.251,0.024,0.167,30
Double,IPv4,jool,192.0.0.171,0.353,0.563,0.558,0.652,0.060,0.637,30
Double,IPv4,tundra,192.0.0.171,0.584,0.666,0.615,0.846,0.091,0.823,30
Double,IPv6,jool,fd00:64:64:5f00:20d2::400,0.483,0.532,0.529,0.564,0.018,0.560,30
Double,IPv6,tundra,fd00:64:64:5f00:20d2::400,0.425,0.537,0.540,0.588,0.035,0.580,30
Double,IPv6,tayga,fd00:64:64:5f00:20d2::400,0.403,0.539,0.540,0.577,0.037,0.575,30
